"primary_keyword","secondary_keywords","search_intent","serp_type","demand_evidence","proposed_page_type","proposed_url","proposed_title","proposed_h1","conversion_goal","internal_link_sources","evidence_required","priority","status","cluster","cannibalization_risk"
"traditional tattoo bali","american traditional tattoo bali; old school tattoo bali; trad tattoo bali","commercial","studio style mentions + listicles","TNT (old school); Two Guns freehand/traditional mentions","style landing","/styles/traditional","Traditional Tattoo Bali — Bold Old-School Artists","American Traditional Tattoos in Bali: Vetted Artists","style-matched artist booking","/artists; /styles/neo-traditional","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"neo traditional tattoo bali","neo trad tattoo bali; neotraditional tattoo artist bali","commercial","sparse: studio style lists","TNT 'best neotraditional' claim; Westcoast roster (neo trad)","style landing","/styles/neo-traditional","Neo-Traditional Tattoo Bali — Vetted Artists","Neo-Traditional Tattoos in Bali: Vetted Artists","style-matched artist booking","/artists; /styles/traditional","portfolio proof; thin-demand check","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"ornamental tattoo bali","mandala tattoo bali; dotwork tattoo bali; ornamental tattoo artist bali; sacred geometry tattoo bali","commercial","dedicated style-location pages","primitivetattoobali.com/mandala-tattoo-seminyak/; Two Guns ornament/geometric gallery; finelinetattoobali ornamental","style landing","/styles/ornamental","Ornamental & Mandala Tattoo Bali — Vetted Artists","Ornamental, Mandala & Dotwork Tattoos in Bali","style-matched artist booking","/artists; /styles/geometric; /locations/seminyak","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"geometric tattoo bali","geometric tattoo artist bali; sacred geometry bali; linework tattoo bali","commercial","studio galleries","Two Guns geometry gallery; Westcoast roster (geometric); Downunder geometric","style landing","/styles/geometric","Geometric Tattoo Bali — Vetted Artists","Geometric Tattoos in Bali: Precision Artists to Your Villa","style-matched artist booking","/artists; /styles/ornamental","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"minimalist tattoo bali","small tattoo bali; tiny tattoo bali; minimal tattoo bali; simple tattoo bali","commercial","style-led homepages + price guides","Tropical Ink (minimalist/micro-realism); finelinetattoobali 'small tattoo' tags; price guides for small tattoos (IDR 500K-1.5M)","style landing","/styles/minimalist","Minimalist & Small Tattoo Bali — Vetted Artists","Minimalist & Small Tattoos in Bali: What They Cost, Who to Book","style-matched artist booking","/styles/fine-line; /pricing","small-tattoo price policy (mobile minimum)","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"watercolor tattoo bali","watercolour tattoo bali; watercolor tattoo artist bali","commercial","thin: gallery mentions","Canggu Tattoo Studio lists watercolor; Hendric Shinigami watercolor sleeve mention","style landing","/styles/watercolor","Watercolor Tattoo Bali — Vetted Artists","Watercolor Tattoos in Bali: Vetted Artists","style-matched artist booking","/artists; /inspiration","portfolio proof; thin-demand check","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"lettering tattoo bali","script tattoo bali; lettering tattoo artist bali; quote tattoo bali; name tattoo bali","commercial","dedicated galleries","finelinetattoobali.com lettering gallery (Canggu); tatship script ideas traffic","style landing","/styles/lettering","Lettering & Script Tattoo Bali — Vetted Artists","Lettering & Script Tattoos in Bali: Vetted Artists","style-matched artist booking","/styles/fine-line; /inspiration","portfolio proof","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"bamboo tattoo bali","traditional balinese tattoo; hand poke tattoo bali; hand tapped tattoo bali; sak yant bali; balinese tattoo symbols meaning","informational/commercial","specialist studios + culture blogs","ubudink.com/balinesebambootattoo; Suku Suku Tatau (hand poke/tap/bamboo); Sak Yant Kuta (Nomadicated bucket list); tattlas.com; Liberty Ink","guide + conditional style page","/guides/traditional-balinese-tattoo","Traditional Balinese & Bamboo Tattoo: Meaning, Safety, Where","Traditional Balinese & Bamboo Tattoos: What to Know Before You Book","newsletter/WhatsApp consult","/locations/ubud; /inspiration","OWNER-VERIFY: whether any InkedUp artist offers hand-poke/bamboo; cultural accuracy review","P3","proposed","style","§12(e): style page curates and links to artist profiles; must not duplicate artist profile portfolio content"
"mobile tattoo bali","villa tattoo bali; in-villa tattoo bali; tattoo home service bali; tattoo that comes to you bali; mobile tattoo artist bali; home service tattoo bali","transactional","thin: direct providers + one authority blog + counter-narrative","cometoyoutattoo.com (min 2.5M IDR/200 AUD); hendricshinigamitattoo.com villa guide (Jan 2026); Two Guns blog argues villa tattoos unsafe (objection to handle)","service hub landing","/mobile-tattoo-bali","Mobile Tattoo Bali — Studio-Grade Setup at Your Villa | InkedUp","Mobile Tattoo in Bali: The Studio Comes to You","WhatsApp inquiry","homepage; /locations/*; /safety; /how-it-works","sterile mobile protocol documentation (equipment, photos, checklist) to rebut hygiene objection","P1","proposed","service model","§12(b)+(f): hub = generic service-model intent, distinct from /locations/* local intent; do NOT create a parallel /villa-tattoo-bali — same SERP, one hub"
"private tattoo session bali","private tattoo bali; one on one tattoo session bali; discreet tattoo bali; vip tattoo bali","commercial","almost empty: 'private studio' claims only","Secret Arts 'private tattoo studio' homepage copy; no dedicated private-session page observed","section of /mobile-tattoo-bali + /how-it-works","n/a (avoid separate thin page)","n/a","n/a","WhatsApp inquiry","n/a","privacy/discretion policy details","P3","proposed","service model","§12(f)-related: lives as a section of /mobile-tattoo-bali — a separate page would duplicate the hub on the same SERP"
"tattoo concierge bali","luxury tattoo bali; tattoo butler bali; premium tattoo service bali","commercial/navigational","no exact-match competitor observed","quoted WebSearch returned only generic villa results — term unclaimed (2026-07-17)","homepage + /how-it-works phrasing","/","(covered by homepage row)","(covered by homepage row)","WhatsApp inquiry","all pages","consistent concierge phrasing sitewide","P2","exists","service model","§12(a): phrasing layer on the homepage — shares URL / with 'tattoo bali' row; one homepage serves both"
"tattoo holiday bali","tattoo package bali; tattoo retreat bali; tattoo and stay bali","commercial investigation","niche packages","tattooholidaybali.com (tattoo + villa-stay packages incl. airport transfer, Lovina)","guide or package page (later)","/guides/tattoo-holiday-bali","Tattoo Holiday in Bali: Planning a Trip Around Your Ink","How to Plan a Tattoo Holiday in Bali","WhatsApp inquiry (trip planning)","/guides/tattoo-aftercare-bali; /pricing","partnership/logistics reality (multi-day sessions, accommodation tie-ins)","P3","proposed","service model",""
"tattoo prices bali","tattoo cost bali; how much is a tattoo in bali; bali tattoo price guide; tattoo prices bali 2026; how much does a tattoo cost in bali","commercial investigation","blog price guides (5+)","Hustle Ink 2026 guide; Canggu Ink Club budget guide; Secret Arts guide; besttattooartistbali price guide; finelinetattoobali price page","commercial pricing page (single URL)","/pricing","Tattoo Prices in Bali — Transparent Rates | InkedUp","Tattoo Prices in Bali: What You'll Actually Pay","quote request via WhatsApp","homepage; /how-it-works; /faq; /styles/*","OWNER-VERIFY: real minimum charge, hourly/session rates, deposit, travel fees","P2","exists","price","§12(c): keep ONE price URL — do not create a separate price blog guide"
"small tattoo price bali","minimum charge tattoo bali; tiny tattoo cost bali; small tattoo bali minimum; cheap tattoo bali","commercial investigation","FAQ sections of price guides","besttattooartistbali (small from IDR 500K); Hustle Ink (minimums IDR 300-600K); finelinetattoobali (from 1M IDR)","/pricing section + /faq answer","/pricing","(covered by pricing row)","(covered by pricing row)","quote request","/styles/minimalist","mobile-service minimum vs studio minimums — owner pricing decision","P3","exists","price","§12(c): /pricing section + /faq answer only — no separate URL"
"tattoo hourly rate bali","day rate tattoo bali; full day tattoo session price bali; tattoo session cost bali","commercial investigation","price guides","finelinetattoobali hourly 2.4M IDR; besttattooartistbali (hourly IDR 800K-3M; full-day IDR 5M-15M); Sabian INK hourly-vs-flat explainer","/pricing section","/pricing","(covered by pricing row)","(covered by pricing row)","quote request","/pricing","real hourly/session rates","P3","exists","price","§12(c): /pricing section only — no separate URL"
"is it cheaper to get a tattoo in bali","tattoo bali vs australia price; bali tattoo cost compared; tattoo abroad bali cheap","commercial investigation","comparison articles","cangguinkclub.com country-comparison table (Bali vs Thailand vs Australia); secretartstattoo.com country pages (australia, netherlands); afterschooltattoo.com AUD comparison","guide","/guides/tattoo-cost-bali-vs-your-country","Is Getting a Tattoo in Bali Cheaper? An Honest Comparison","Is a Bali Tattoo Actually Cheaper? Costs vs Australia, UK, Europe","WhatsApp inquiry","/pricing","OWNER-VERIFY: target source markets (AU/UK/EU); current exchange-rate framing","P3","proposed","price","§12(c): comparison guide must defer to /pricing for current rates — do not duplicate the price table"
"is it safe to get a tattoo in bali","tattoo hygiene bali; safe tattoo studio bali; bali tattoo safety; tattoo infection risk bali; tattoo safety standards bali","informational (commercial undertone)","articles + dedicated studio hygiene pages","Slinky Villas safety article; Trishnanda hygiene/red-flags guide; W Ink /our-studio-hygiene; Bloodline /hygiene (OSHA/Australian WHS); Platinum /hygiene","trust/safety page","/safety","Is It Safe to Get a Tattoo in Bali? InkedUp Hygiene Standards","Tattoo Safety in Bali: Our Hygiene Protocol, Step by Step","trust → WhatsApp inquiry","homepage; /mobile-tattoo-bali; /faq; /locations/*","verifiable protocol details (single-use needles, sterilization, artist certifications); photos","P1","exists","safety/info","§12(d): /safety = is-it-safe + hygiene standards; cross-link /faq (short answers) and aftercare guide (steps) — do not duplicate"
"tattoo aftercare bali","tattoo aftercare tropical climate; tattoo healing bali; second skin tattoo bali; tattoo aftercare humidity","informational","dedicated long-form guides","Downunder aftercare guide; Tropical Ink tropical guide; W Ink aftercare; Blacklow guide; Canggu Ink Club day-by-day healing","guide","/guides/tattoo-aftercare-bali","Tattoo Aftercare in Bali: The Tropical Healing Guide","Tattoo Aftercare in Bali's Tropical Climate: Day-by-Day","aftercare-kit upsell / WhatsApp questions","/safety; /faq; /pricing; booking confirmation page","medically sound content review; aftercare kit details","P2","proposed","safety/info","§12(d): guide = aftercare steps; cross-link /safety + /faq — do not duplicate their content"
"swimming after tattoo bali","can you swim after a tattoo; ocean after new tattoo bali; pool after tattoo; beach after tattoo","informational","PAA-style answers inside guides","14-day no-submersion rule stated by Tropical Ink, W Ink, Secret Arts, Trishnanda","section of aftercare guide (anchor)","/guides/tattoo-aftercare-bali#swimming","(covered by aftercare row)","Swimming, Ocean & Pools After a Tattoo in Bali","engagement → inquiry","/faq; /locations/*","consistent medical guidance","P3","proposed","safety/info","§12(d): anchor section of the aftercare guide — no standalone page"
"sun exposure after tattoo","sunscreen on new tattoo; sunburn before tattoo appointment; sun on healing tattoo bali","informational","PAA-style answers inside guides","no sunscreen 3-4 weeks + sunburn-before-session warnings (Tropical Ink; Two Guns)","section of aftercare guide","/guides/tattoo-aftercare-bali#sun","(covered by aftercare row)","Sun, UV & Sunscreen Rules for a Healing Tattoo in Bali","engagement → inquiry","/faq","consistent medical guidance","P3","proposed","safety/info","§12(d): anchor section of the aftercare guide — no standalone page"
"when to get a tattoo during bali trip","tattoo beginning or end of bali trip; flying after tattoo; tattoo before flight; last day tattoo bali","informational","blog advice sections","Two Guns: get inked 3-4 days before leaving; Tropical Ink: book session for final days; Trishnanda flight-discomfort note","guide","/guides/when-to-get-tattooed-bali-trip","When to Get Your Tattoo During a Bali Trip (Flights, Sun, Swimming)","Timing Your Bali Tattoo: Flights, Beaches and Healing Windows","plan session via WhatsApp","/guides/tattoo-aftercare-bali; /how-it-works","touch-up policy for travelers who leave Bali","P3","proposed","safety/info","§12(d)-related: timing advice overlaps the aftercare guide — cross-link /guides/tattoo-aftercare-bali, do not duplicate sections"
"alcohol before tattoo","can you drink before a tattoo; alcohol after tattoo; drinking before tattoo bali","informational","FAQ answers inside guides","Trishnanda: avoid alcohol pre/post (thins blood, increases swelling)","/faq item","/faq","(covered by FAQ)","(covered by FAQ)","engagement","/safety","policy statement (refusal of intoxicated clients)","P3","exists","safety/info","§12(d): /faq short answer only; policy detail lives on /safety"
"tattoo infection signs","infected tattoo symptoms; tattoo infection what to do; tattoo infection bali doctor","informational","medical/clinic articles","Trishnanda red-flags article (CDC/WHO risk framing: hep B/C, HIV); aftercare IV-treatment pages","section of aftercare guide + /faq","/guides/tattoo-aftercare-bali#infection","(covered by aftercare row)","Tattoo Infection: Warning Signs and What to Do in Bali","trust → inquiry","/safety; /faq","medical review; local clinic referral info (E-E-A-T: do not give unsafe medical advice)","P3","proposed","safety/info","§12(d): anchor section of aftercare guide + /faq cross-link — no standalone page"
"age limit tattoo indonesia","legal tattoo age bali; minimum age tattoo indonesia; can a 16 year old get a tattoo in bali; parental consent tattoo bali","informational","NO Indonesia-specific authoritative result found","WebSearch returned only generic US/EU age-law articles — gap + risk","/faq item (with policy)","/faq","(covered by FAQ)","(covered by FAQ)","engagement","/safety; /terms","OWNER-VERIFY: Indonesian regulation / house policy (assume 18+ until confirmed); legal sign-off","P2","exists","safety/info","§12(d)-related: /faq short answer only; align with /terms 18+ policy and /safety — no standalone page"
"best tattoo studio bali","best tattoo shop bali; top tattoo studios bali; bali best tattoo studio 2026; best tattoo places bali","commercial investigation","listicles + directory","Finns '16 Best'; Bali Buddies 'Bali's Best Tattoo Studios In 2026'; Traveloka; Bali Done Right; besttattooartistbali.com (30+ studios compared)","directory landing (retarget /studios)","/studios","Best Tattoo Studios in Bali — Vetted by InkedUp","The Best Tattoo Studios in Bali, Vetted for You","browse → request booking","homepage; /locations/*; /reviews","verifiable vetting criteria; review data; avoid unsupported 'best' claims on own platform","P2","exists","commercial","§12(a): retarget of /studios — one URL shared with 'tattoo studio bali' row; avoid unsupported 'best' claims on own platform"
"best tattoo artist bali","best tattoo artists in bali; top tattoo artist bali; famous tattoo artist bali; best female tattoo artist bali","commercial investigation","listicles + how-to guides","Finns '16 Best Tattoo Artists'; cangguinkclub.com 'How to Find a Good Tattoo Artist Near Me in Bali'; Westcoast roster","artist directory (retarget /artists)","/artists","Best Tattoo Artists in Bali — Vetted Portfolios","Bali's Best Tattoo Artists, Vetted and Bookable","artist → booking","/styles/*; /reviews","real roster + portfolios to substantiate","P2","exists","commercial","§12(a): retarget of /artists — one URL shared with 'tattoo artist bali' row"
"tattoo bali reviews","bali tattoo studio reviews; inkedup bali reviews; tattoo reviews bali tripadvisor","commercial investigation","review aggregators + directory review pages","Trustindex page ranks for Canggu Ink Club reviews; directory review counts (Celebrity Ink 4,530); Wanderlog venue reviews","reviews/testimonials page","/reviews","InkedUp Reviews — What Bali Clients Say","Client Reviews: Tattoos Done in Villas Across Bali","trust → WhatsApp inquiry","homepage; /studios; /artists","verifiable testimonials (Google reviews import or schema-eligible reviews); do not fabricate","P2","proposed","commercial",""
"how to choose a tattoo studio in bali","how to find a good tattoo artist bali; tattoo red flags bali; what to check before tattoo bali","informational/commercial investigation","how-to guides","cangguinkclub.com how-to-find guide; Trishnanda red-flags/steps article","guide","/guides/how-to-choose-tattoo-studio-bali","How to Choose a Tattoo Studio in Bali (Red Flags & Checklist)","How to Choose a Tattoo Studio or Artist in Bali","guide → InkedUp as vetted shortcut","/safety; /reviews; /studios","vetting checklist aligned with real InkedUp process","P3","proposed","commercial",""
"bali tattoo ideas","bali tattoo inspiration; bali tattoo designs; balinese tattoo ideas; small bali tattoo ideas","informational","idea/inspiration blogs","Downunder styles guide (mandala/barong/floral); Hendric '10 Big Tattoo Ideas'; Mason's 'Bali Tattoo Ideas' blog","gallery page (retarget /inspiration)","/inspiration","Bali Tattoo Ideas — Designs, Styles & Inspiration","Bali Tattoo Ideas: Styles, Motifs and What They Mean","inspiration → consult","/styles/*; /artists","rights-cleared images; artist attribution","P3","exists","commercial",""
